"","time","city","loan","employment"
"1","2001","NEW YORK",102517,7919314
"2","2001","OAKLAND",88648,2030891
"3","2001","ALTOONA",101183,57483
"4","2001","SAVANNAH",105378,134220
"5","2001","LEBANON",137467,43216
"6","2001","LITTLE ROCK",96054,304709
"7","2001","SPRINGFIELD",327253,135775
"8","2001","SIOUX FALLS",111177,113495
"9","2001","FARGO",131129,97546
"10","2001","PENSACOLA",34270,147329
"11","2001","MIAMI",112849,2174136
"12","2001","CARLSBAD",78158,1225922
"13","2001","LOGAN",116907,42221
"14","2001","NASHVILLE",113335,676028
"15","2001","DETROIT",48946,1984113
"16","2001","DULUTH",115458,119021
"17","2001","ATHENS",83909,72565
"18","2001","LINCOLN",106491,150941
"19","2001","LA CROSSE",249017,68093
"20","2001","CHICAGO",351408,4198324
"21","2001","FORT WALTON BEACH",144802,76445
"22","2001","TROY",130142,415379
"23","2001","CLEVELAND",207446,37778
"24","2001","FAYETTE",61165,114792
"25","2001","TULSA",125092,398694
"26","2001","FORT WORTH",62263,2657181
"27","2001","FAIRBANKS",74782,32398
"28","2001","BURLINGTON",49601,60576
"29","2001","DENVER",101011,1156499
"30","2001","MILWAUKEE",123791,809158
"31","2001","CHARLESTON",118493,138639
"32","2001","KANSAS CITY",122042,936502
"33","2001","SEATTLE",245186,1531077
"34","2001","OSHKOSH",146391,87227
"35","2001","PEORIA",106607,167354
"36","2001","MONROE",124828,78384
"37","2001","DALLAS",103484,2657181
"38","2001","VERNON",89725,42596
"39","2001","MENTOR",112347,1040129
"40","2001","COLUMBIA",67121,78780
"41","2001","DURHAM",121886,251952
"42","2001","BELLEVUE",105878,1531077
"43","2001","VIRGINIA BEACH",107240,693777
"44","2001","ASHEVILLE",124061,157627
"45","2002","SALT LAKE CITY",81738,538508
"46","2002","OAKLAND",105080,1992934
"47","2002","OMAHA",272147,412803
"48","2002","ALTOONA",103945,57484
"49","2002","PORTLAND",115646,237605
"50","2002","TEXARKANA",106828,51343
"51","2002","PENSACOLA",31304,148802
"52","2002","MIAMI",115563,2182279
"53","2002","CARLSBAD",73091,1247344
"54","2002","LOGAN",215669,43147
"55","2002","NASHVILLE",117136,688276
"56","2002","DETROIT",51457,1957874
"57","2002","MISSOULA",125962,50241
"58","2002","DULUTH",248630,119481
"59","2002","LINCOLN",110826,152617
"60","2002","LA CROSSE",240179,68041
"61","2002","WASHINGTON",100060,2671374
"62","2002","SPRINGFIELD",93262,136219
"63","2002","NEW YORK",120174,7857747
"64","2002","CLEVELAND",148380,38149
"65","2002","FAYETTE",64905,116434
"66","2002","MANCHESTER",72817,187558
"67","2002","TULSA",104143,382844
"68","2002","PARKERSBURG",120717,69099
"69","2002","LITTLE ROCK",137446,305031
"70","2002","FORT WORTH",72506,2599786
"71","2002","CHICAGO",253602,4162492
"72","2002","FAIRBANKS",77378,32675
"73","2002","ATHENS",111944,74644
"74","2002","DENVER",97184,1131769
"75","2002","MILWAUKEE",129322,803464
"76","2002","CHARLESTON",127887,136917
"77","2002","KANSAS CITY",134188,926305
