"","time","MSA","employment"
"1",2001,"2002.Q1-Q4 C1018 (ABILENE, TX MSA).CSV",60998
"2",2001,"2002.Q1-Q4 C1042 (AKRON, OH MSA).CSV",308395
"3",2001,"2002.Q1-Q4 C1050 (ALBANY, GA MSA).CSV",62106
"4",2001,"2002.Q1-Q4 C1058 (ALBANY-SCHENECTADY-TROY, NY MSA).CSV",415379
"5",2001,"2002.Q1-Q4 C1074 (ALBUQUERQUE, NM MSA).CSV",346412
"6",2001,"2002.Q1-Q4 C1078 (ALEXANDRIA, LA MSA).CSV",57800
"7",2001,"2002.Q1-Q4 C1090 (ALLENTOWN-BETHLEHEM-EASTON, PA-NJ MSA).CSV",310334
"8",2001,"2002.Q1-Q4 C1102 (ALTOONA, PA MSA).CSV",57483
"9",2001,"2002.Q1-Q4 C1110 (AMARILLO, TX MSA).CSV",99861
"10",2001,"2002.Q1-Q4 C1118 (AMES, IA MSA).CSV",39779
"11",2001,"2002.Q1-Q4 C1126 (ANCHORAGE, AK MSA).CSV",146390
"12",2001,"2002.Q1-Q4 C1130 (ANDERSON, IN MSA).CSV",44119
"13",2001,"2002.Q1-Q4 C1134 (ANDERSON, SC MSA).CSV",60880
"14",2001,"2002.Q1-Q4 C1146 (ANN ARBOR, MI MSA).CSV",195713
"15",2001,"2002.Q1-Q4 C1150 (ANNISTON-OXFORD, AL MSA).CSV",46089
"16",2001,"2002.Q1-Q4 C1154 (APPLETON, WI MSA).CSV",106848
"17",2001,"2002.Q1-Q4 C1170 (ASHEVILLE, NC MSA).CSV",157627
"18",2001,"2002.Q1-Q4 C1202 (ATHENS-CLARKE COUNTY, GA MSA).CSV",72565
"19",2001,"2002.Q1-Q4 C1206 (ATLANTA-SANDY SPRINGS-MARIETTA, GA MSA).CSV",2155207
"20",2001,"2002.Q1-Q4 C1210 (ATLANTIC CITY, NJ MSA).CSV",138269
"21",2001,"2002.Q1-Q4 C1222 (AUBURN-OPELIKA, AL MSA).CSV",40893
"22",2001,"2002.Q1-Q4 C1226 (AUGUSTA-RICHMOND COUNTY, GA-SC MSA).CSV",202054
"23",2001,"2002.Q1-Q4 C1242 (AUSTIN-ROUND ROCK, TX MSA).CSV",652437
"24",2001,"2002.Q1-Q4 C1254 (BAKERSFIELD, CA MSA).CSV",227933
"25",2001,"2002.Q1-Q4 C1258 (BALTIMORE-TOWSON, MD MSA).CSV",1193153
"26",2001,"2002.Q1-Q4 C1262 (BANGOR, ME MSA).CSV",68611
"27",2001,"2002.Q1-Q4 C1270 (BARNSTABLE TOWN, MA MSA).CSV",81057
"28",2001,"2002.Q1-Q4 C1294 (BATON ROUGE, LA MSA).CSV",327447
"29",2001,"2002.Q1-Q4 C1298 (BATTLE CREEK, MI MSA).CSV",61077
"30",2001,"2002.Q1-Q4 C1302 (BAY CITY, MI MSA).CSV",38556
"31",2001,"2002.Q1-Q4 C1314 (BEAUMONT-PORT ARTHUR, TX MSA).CSV",153904
"32",2001,"2002.Q1-Q4 C1338 (BELLINGHAM, WA MSA).CSV",68334
"33",2001,"2002.Q1-Q4 C1346 (BEND, OR MSA).CSV",51564
"34",2001,"2002.Q1-Q4 C1374 (BILLINGS, MT MSA).CSV",68548
"35",2001,"2002.Q1-Q4 C1378 (BINGHAMTON, NY MSA).CSV",110337
"36",2001,"2002.Q1-Q4 C1382 (BIRMINGHAM-HOOVER, AL MSA).CSV",475633
"37",2001,"2002.Q1-Q4 C1390 (BISMARCK, ND MSA).CSV",49780
"38",2001,"2002.Q1-Q4 C1398 (BLACKSBURG-CHRISTIANSBURG-RADFORD, VA MSA).CSV",62630
"39",2001,"2002.Q1-Q4 C1402 (BLOOMINGTON, IN MSA).CSV",69333
"40",2001,"2002.Q1-Q4 C1406 (BLOOMINGTON-NORMAL, IL MSA).CSV",86945
"41",2001,"2002.Q1-Q4 C1426 (BOISE CITY-NAMPA, ID MSA).CSV",230469
"42",2001,"2002.Q1-Q4 C1446 (BOSTON-CAMBRIDGE-QUINCY, MA-NH MSA).CSV",2351789
"43",2001,"2002.Q1-Q4 C1450 (BOULDER, CO MSA).CSV",156971
"44",2001,"2002.Q1-Q4 C1454 (BOWLING GREEN, KY MSA).CSV",50253
"45",2001,"2002.Q1-Q4 C1474 (BREMERTON-SILVERDALE, WA MSA).CSV",74347
"46",2001,"2002.Q1-Q4 C1486 (BRIDGEPORT-STAMFORD-NORWALK, CT MSA).CSV",414399
"47",2001,"2002.Q1-Q4 C1518 (BROWNSVILLE-HARLINGEN, TX MSA).CSV",113568
"48",2001,"2002.Q1-Q4 C1526 (BRUNSWICK, GA MSA).CSV",40556
"49",2001,"2002.Q1-Q4 C1538 (BUFFALO-NIAGARA FALLS, NY MSA).CSV",522168
"50",2001,"2002.Q1-Q4 C1550 (BURLINGTON, NC MSA).CSV",60576
"51",2001,"2002.Q1-Q4 C1554 (BURLINGTON-SOUTH BURLINGTON, VT MSA).CSV",108819
"52",2001,"2002.Q1-Q4 C1594 (CANTON-MASSILLON, OH MSA).CSV",176545
"53",2001,"2002.Q1-Q4 C1598 (CAPE CORAL-FORT MYERS, FL MSA).CSV",178444
"54",2001,"2002.Q1-Q4 C1618 (CARSON CITY, NV MSA).CSV",30563
"55",2001,"2002.Q1-Q4 C1622 (CASPER, WY MSA).CSV",32268
"56",2001,"2002.Q1-Q4 C1630 (CEDAR RAPIDS, IA MSA).CSV",127356
"57",2001,"2002.Q1-Q4 C1658 (CHAMPAIGN-URBANA, IL MSA).CSV",96949
"58",2001,"2002.Q1-Q4 C1662 (CHARLESTON, WV MSA).CSV",138639
"59",2001,"2002.Q1-Q4 C1670 (CHARLESTON-NORTH CHARLESTON, SC MSA).CSV",241524
"60",2001,"2002.Q1-Q4 C1674 (CHARLOTTE-GASTONIA-CONCORD, NC-SC MSA).CSV",750476
"61",2001,"2002.Q1-Q4 C1682 (CHARLOTTESVILLE, VA MSA).CSV",87624
"62",2001,"2002.Q1-Q4 C1686 (CHATTANOOGA, TN-GA MSA).CSV",227188
"63",2001,"2002.Q1-Q4 C1694 (CHEYENNE, WY MSA).CSV",36792
"64",2001,"2002.Q1-Q4 C1698 (CHICAGO-NAPERVILLE-JOLIET, IL-IN-WI MSA).CSV",4198324
