"","co","name","time","city","loan","atot"
"1","1020180","BREMER FNCL CORP","2001","SAINT PAUL",3498839,"5094064"
"2","1020201","HSBC USA","2001","NEW YORK",40923298,"87113576"
"3","1020340","BMO BC","2001","CHICAGO",16113478,"29013762"
"4","1020395","SOUTHERN NAT CORP","2001","ANDALUSIA",153869,"187561"
"5","1020582","WOODTRUST FC","2001","WISCONSIN RAPIDS",148181,"231572"
"6","1020676","AMALGAMATED INV CO","2001","CHICAGO",298367,"579760"
"7","1020902","FIRST NAT OF NE","2001","OMAHA",6953749,"9752795"
"8","1021628","BANAMEX USA BC","2001","CENTURY CITY",927883,"2225675"
"9","1021682","CITIZENS BSHRS","2001","FARMINGTON",139772,"373476"
"10","1021879","JGB FNCL HC","2001","MIAMI",155959,"224774"
"11","1022166","FIRST HERITAGE CORP","2001","CARTHAGE",122853,"165686"
"12","1022661","NEW GALVESTON CO","2001","WILMINGTON",4529593,"8411313"
"13","1022764","CENTRAL PACIFIC FC","2001","HONOLULU",1268657,"1835641"
"14","1022924","CMC HOLD DE","2001","NEWARK",41412720,"52962452"
"15","1022997","PUEBLO BC","2001","PUEBLO",253462,"344259"
"16","1023154","NEW MEXICO BANQUEST CORP","2001","SANTA FE",213134,"347487"
"17","1023220","BNY HOLD DE CORP","2001","NEWARK",1778145,"2089389"
"18","1023239","MERCHANTS BSHRS","2001","SOUTH BURLINGTON",479220,"802318"
"19","1024058","FIRST SCTY CORP","2001","MINNEAPOLIS",6001634,"21225003"
"20","1025309","BANK OF HI CORP","2001","HONOLULU",6109409,"10632940"
"21","1025541","WESTAMERICA BC","2001","SAN RAFAEL",2484456,"3933448"
"22","1025608","BANCWEST CORP","2001","HONOLULU",15223732,"21646514"
"23","1025662","CENTRAL BC","2001","PROVO",223175,"342303"
"24","1026632","CHARLES SCHWAB CORP","2001","SAN FRANCISCO",13680126,"40463921"
"25","1026801","FREMONT BC","2001","FREMONT",986629,"1104120"
"26","1027004","ZIONS BC","2001","SALT LAKE CITY",17310838,"24304164"
"27","1027518","CITY NAT CORP","2001","LOS ANGELES",7162590,"10176306"
"28","1028038","F&M HC","2001","BOISE",215270,"256317"
"29","1028412","CB BSHRS","2001","HONOLULU",1242942,"1586552"
"30","1028533","ORIENT BC","2001","SAN FRANCISCO",335924,"490102"
"31","1029071","CENTENNIAL BC","2001","PORTLAND",666247,"816979"
"32","1029213","GBC BC","2001","LOS ANGELES",1125289,"2367232"
"33","1029222","CVB FC","2001","ONTARIO",1187540,"2514102"
"34","1029259","COMERICA HOLD","2001","DETROIT",11999688,"19169310"
"35","1029295","SUMMIT BSHRS","2001","OAKLAND",88648,"147192"
"36","1029334","NORTH VALLEY BC","2001","REDDING",396808,"594973"
"37","1029428","FIRST RGNL BC","2001","LOS ANGELES",285402,"347560"
"38","1029464","WTB FC","2001","SPOKANE",1546091,"1900214"
"39","1029482","RCB CORP","2001","SACRAMENTO",308211,"562418"
"40","1029576","BWC FC","2001","WALNUT CREEK",281467,"395057"
"41","1029884","PACIFIC CAP BC","2001","SANTA BARBARA",2799092,"3960929"
"42","1029893","WEST COAST BC","2001","LAKE OSWEGO",1099073,"1435701"
"43","1030040","BANK OF CMRC HOLD","2001","REDDING",219876,"318686"
"44","1030161","MELLON 1ST BUS CORP","2001","LOS ANGELES",892370,"1975041"
"45","1030170","TRICO BSHRS","2001","CHICO",658732,"1005447"
"46","1030451","FIRST FNCL BC","2001","LODI",141974,"225985"
"47","1030611","NATIONAL BC OF ALASKA","2001","MINNEAPOLIS",1597344,"3573608"
"48","1030835","SDNB FC","2001","SAN DIEGO",1410331,"1638712"
