"","time","city","loan"
"1","2001","NEW YORK",102517
"2","2001","CARTHAGE",122853
"3","2001","OAKLAND",88648
"4","2001","SPENCER",194954
"5","2001","LYONS",168917
"6","2001","CHAMBERS",22305
"7","2001","BRIGHTON",111414
"8","2001","VALLEY",102408
"9","2001","TONGANOXIE",124323
"10","2001","DOUGLAS",54599
"11","2001","HOLLIS",111954
"12","2001","SEWARD",103489
"13","2001","KEARNEY",113925
"14","2001","BROKEN ARROW",92168
"15","2001","WRAY",95675
"16","2001","GIRARD",118131
"17","2001","CHICKASHA",86080
"18","2001","SCOTTDALE",63310
"19","2001","PRESTONSBURG",91119
"20","2001","HYDEN",96176
"21","2001","HAMPTON",106259
"22","2001","GREENWOOD",113331
"23","2001","ALTOONA",101183
"24","2001","DOUGLASVILLE",142496
"25","2001","GREENEVILLE",138622
"26","2001","CLAYTON",248031
"27","2001","DICKSON",82689
"28","2001","BUCHANAN",214338
"29","2001","LA FOLLETTE",91196
"30","2001","HARDINSBURG",113438
"31","2001","ROLLA",106742
"32","2001","WEST PLAINS",115011
"33","2001","RUSSELLVILLE",133619
"34","2001","SAINT LOUIS",94610
"35","2001","CLARKSDALE",94430
"36","2001","HENDERSON",116133
"37","2001","SAVANNAH",105378
"38","2001","MONTICELLO",110229
"39","2001","LEBANON",137467
"40","2001","LITCHFIELD",102930
"41","2001","UNION CITY",113442
"42","2001","VANDALIA",91306
"43","2001","RIPLEY",66297
"44","2001","LITTLE ROCK",96054
"45","2001","HOPE",103134
"46","2001","HEARNE",86066
"47","2001","KINGSVILLE",88800
"48","2001","FABENS",110115
"49","2001","CLOVIS",93235
"50","2001","GRAHAM",100650
"51","2001","KERMIT",85635
"52","2001","CENTER",102223
"53","2001","TAYLOR",63009
"54","2001","MAYFIELD",123476
"55","2001","SPRINGFIELD",327253
"56","2001","POTOSI",89922
"57","2001","SIOUX FALLS",111177
"58","2001","FARGO",131129
"59","2001","FINLAYSON",128244
"60","2001","BLAINE",92017
"61","2001","DEVILS LAKE",113501
"62","2001","IRON RIVER",78095
"63","2001","PENSACOLA",34270
"64","2001","MIAMI",112849
"65","2001","EDGEWOOD",122291
"66","2001","CARLSBAD",78158
"67","2001","WYNNE",95457
"68","2001","SULPHUR SPRINGS",110115
"69","2001","OVERLAND PARK",120932
"70","2001","PENNSVILLE",63132
"71","2001","LOGAN",116907
"72","2001","NASHVILLE",113335
"73","2001","DETROIT",48946
"74","2001","BARBOURVILLE",131343
"75","2001","MIDDLEBURY",111746
"76","2001","DULUTH",115458
"77","2001","ATHENS",83909
"78","2001","CHILLICOTHE",103406
"79","2001","MARKLE",134720
"80","2001","MAYWOOD",102487
"81","2001","NEFFS",72616
"82","2001","GRANBURY",73434
"83","2001","PARIS",214618
"84","2001","ELKINS",108473
"85","2001","WEST LIBERTY",103247
"86","2001","TOLUCA",106734
"87","2001","NEWMAN",113583
"88","2001","LINCOLN",106491
"89","2001","LA CROSSE",249017
"90","2001","CHICAGO",351408
"91","2001","KENTLAND",110560
"92","2001","ROCHELLE",77592
"93","2001","SOMONAUK",91104
"94","2001","PILOT GROVE",135248
"95","2001","LIBERTY",61563
"96","2001","MARINETTE",124832
"97","2001","FORT WALTON BEACH",144802
"98","2001","ADA",109662
"99","2001","SAULT SAINTE MARIE",121190
"100","2001","BLYTHEVILLE",92480
"101","2001","MCPHERSON",120647
"102","2001","JONESVILLE",97918
"103","2001","HOFFMAN ESTATES",110497
"104","2001","KENT CITY",123514
"105","2001","TROY",130142
"106","2001","CLEVELAND",207446
"107","2001","FAYETTE",61165
"108","2001","EVANSTON",80160
"109","2001","ANNAPOLIS",112923
"110","2001","GLENWOOD",102133
"111","2001","LONOKE",112293
"112","2001","WEST MEMPHIS",73206
"113","2001","BLACKSHEAR",103753
"114","2001","TULSA",125092
"115","2001","SHEPHERDSVILLE",94067
"116","2001","FORT WORTH",62263
"117","2001","CLEAR LAKE",120954
"118","2001","HONOR",118901
"119","2001","NOBLESVILLE",127880
"120","2001","BROWN CITY",111029
"121","2001","WEST MILTON",101722
"122","2001","FAIRBANKS",74782
"123","2001","HOLLY SPRINGS",33969
"124","2001","BRANSON",104184
"125","2001","SHELBYVILLE",104749
"126","2001","RAWLINS",85888
"127","2001","ALVA",100184
"128","2001","SMITHFIELD",137309
"129","2001","BURLINGTON",49601
"130","2001","BIXBY",126531
"131","2001","DENVER",101011
"132","2001","CHARLES TOWN",103305
"133","2001","MILWAUKEE",123791
"134","2001","NEW WASHINGTON",130304
"135","2001","OLNEY",94399
"136","2001","CHARLESTON",118493
"137","2001","KANSAS CITY",122042
"138","2001","WINTER PARK",123603
"139","2001","SEATTLE",245186
"140","2001","OSHKOSH",146391
"141","2001","DUNDALK",123552
"142","2001","PEORIA",106607
"143","2001","DEBARY",112273
"144","2001","ARLINGTON HEIGHTS",121306
