"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C1210",0,10,40,0,2001,1,"","Atlantic City, NJ MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",6315,136452,136480,137540,1113353740,779676964,16169957,626
"C1210",0,"10",40,0,2001,2,"","Atlantic City, NJ MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",6313,139664,142400,146444,1135858284,654358276,14134235,612
"C1210",0,"10",40,0,2001,3,"","Atlantic City, NJ MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",6118,145055,142553,144537,1132033899,460008689,10065221,605
"C1210",0,"10",40,0,2001,4,"","Atlantic City, NJ MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",6173,142023,141073,140653,1216842033,283479297,6286805,663
"C1210",1,10,41,0,2001,1,"","Atlantic City, NJ MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",52,2500,2499,2496,37862773,0,0,1166
"C1210",1,"10",41,0,2001,2,"","Atlantic City, NJ MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",52,2518,2518,2530,41669125,0,0,1271
"C1210",1,"10",41,0,2001,3,"","Atlantic City, NJ MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",53,2576,2584,2541,39131027,0,0,1173
"C1210",1,"10",41,0,2001,4,"","Atlantic City, NJ MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",53,2638,2637,2694,42983949,0,0,1245
"C1210",2,10,41,0,2001,1,"","Atlantic City, NJ MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",20,3691,3702,3748,40906977,3233611,12934,847
"C1210",2,"10",41,0,2001,2,"","Atlantic City, NJ MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",20,3746,3780,3654,39188096,2422442,9690,809
"C1210",2,"10",41,0,2001,3,"","Atlantic City, NJ MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",20,3715,3651,3696,37881668,810992,3244,790
"C1210",2,"10",41,0,2001,4,"","Atlantic City, NJ MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",20,3783,3775,3813,46181418,424482,1698,937
"C1210",3,10,41,0,2001,1,"","Atlantic City, NJ MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",126,13818,14059,14075,139713031,21240547,84962,769
"C1210",3,"10",41,0,2001,2,"","Atlantic City, NJ MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",126,14095,14107,14383,142588081,14636606,58546,773
"C1210",3,"10",41,0,2001,3,"","Atlantic City, NJ MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",125,10396,10437,14207,107769739,5839565,23355,710
"C1210",3,"10",41,0,2001,4,"","Atlantic City, NJ MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",125,14473,14652,14635,154262322,3530455,14118,814
"C1210",5,10,41,0,2001,1,"","Atlantic City, NJ MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",6117,116443,116220,117221,894870959,755202806,16072061,590
"C1210",5,"10",41,0,2001,2,"","Atlantic City, NJ MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",6115,119305,121995,125877,912412982,637299228,14065999,573
"C1210",5,"10",41,0,2001,3,"","Atlantic City, NJ MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",5920,128368,125881,124093,947251465,453358132,10038622,578
"C1210",5,"10",41,0,2001,4,"","Atlantic City, NJ MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",5975,121129,120009,119511,973414344,279524360,6270989,623
"C1210",5,101,42,0,2001,1,"","Atlantic City, NJ MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",1003,10448,10488,10835,97387996,92073849,3039925,707
"C1210",5,"101",42,0,2001,2,"","Atlantic City, NJ MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",1005,10899,11366,13683,112496554,78635981,2655165,722
"C1210",5,"101",42,0,2001,3,"","Atlantic City, NJ MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",965,15115,12804,12146,124561033,58796839,2002950,717
"C1210",5,"101",42,0,2001,4,"","Atlantic City, NJ MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",974,11686,11384,11311,125839425,35624371,1241836,845
"C1210",5,1011,43,0,2001,1,"","Atlantic City, NJ MSA","Private","Natural Resources and Mining","MSA, by Supersector -- by ownership sector","All establishment sizes",90,561,505,556,2682578,2523542,84687,382
"C1210",5,"1011",43,0,2001,2,"","Atlantic City, NJ MSA","Private","Natural Resources and Mining","MSA, by Supersector -- by ownership sector","All establishment sizes",91,591,752,2999,5395870,4675194,167223,287
"C1210",5,"1011",43,0,2001,3,"","Atlantic City, NJ MSA","Private","Natural Resources and Mining","MSA, by Supersector -- by ownership sector","All establishment sizes",84,4447,1887,1429,10231719,9223458,312919,304
"C1210",5,"1011",43,0,2001,4,"","Atlantic City, NJ MSA","Private","Natural Resources and Mining","MSA, by Supersector -- by ownership sector","All establishment sizes",82,1058,889,787,4826878,2678218,99530,407
"C1210",5,1012,43,0,2001,1,"","Atlantic City, NJ MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",758,5091,5271,5499,54514320,52125886,2023528,793
"C1210",5,"1012",43,0,2001,2,"","Atlantic City, NJ MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",760,5554,5842,5927,64185061,42981549,1679088,855
"C1210",5,"1012",43,0,2001,3,"","Atlantic City, NJ MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",732,5986,6209,6100,71653880,32082591,1233492,904
"C1210",5,"1012",43,0,2001,4,"","Atlantic City, NJ MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",740,6190,6105,6133,77414265,22435075,874043,969
"C1210",5,1013,43,0,2001,1,"","Atlantic City, NJ MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",155,4796,4712,4780,40191098,37424421,931710,649
"C1210",5,"1013",43,0,2001,2,"","Atlantic City, NJ MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",154,4754,4772,4757,42915623,30979238,808854,693
"C1210",5,"1013",43,0,2001,3,"","Atlantic City, NJ MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",149,4682,4708,4617,42675434,17490790,456539,703
"C1210",5,"1013",43,0,2001,4,"","Atlantic City, NJ MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",152,4438,4390,4391,43598282,10511078,268263,761
"C1210",5,102,42,0,2001,1,"","Atlantic City, NJ MSA","Private","Service-Providing","MSA, by Domain -- by ownership sector","All establishment sizes",5114,105995,105732,106386,797482963,663128957,13032136,579
"C1210",5,"102",42,0,2001,2,"","Atlantic City, NJ MSA","Private","Service-Providing","MSA, by Domain -- by ownership sector","All establishment sizes",5110,108406,110629,112194,799916428,558663247,11410834,557
"C1210",5,"102",42,0,2001,3,"","Atlantic City, NJ MSA","Private","Service-Providing","MSA, by Domain -- by ownership sector","All establishment sizes",4955,113253,113077,111947,822690432,394561293,8035672,561
"C1210",5,"102",42,0,2001,4,"","Atlantic City, NJ MSA","Private","Service-Providing","MSA, by Domain -- by ownership sector","All establishment sizes",5001,109443,108625,108200,847574919,243899989,5029153,599
"C1210",5,1021,43,0,2001,1,"","Atlantic City, NJ MSA","Private","Trade, Transportation, and Utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",1510,20460,20035,20055,134207190,121556203,2300491,511
"C1210",5,"1021",43,0,2001,2,"","Atlantic City, NJ MSA","Private","Trade, Transportation, and Utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",1509,20330,20698,21039,135158509,98357880,1939004,503
"C1210",5,"1021",43,0,2001,3,"","Atlantic City, NJ MSA","Private","Trade, Transportation, and Utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",1449,20863,20827,20579,139225981,68100363,1382435,516
"C1210",5,"1021",43,0,2001,4,"","Atlantic City, NJ MSA","Private","Trade, Transportation, and Utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",1441,20691,21150,21506,149898105,50609138,1025150,546
"C1210",5,1022,43,0,2001,1,"","Atlantic City, NJ MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",72,1354,1360,1351,15449001,13093170,152018,877
"C1210",5,"1022",43,0,2001,2,"","Atlantic City, NJ MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",71,1436,1434,1446,14595366,7479418,101175,780
"C1210",5,"1022",43,0,2001,3,"","Atlantic City, NJ MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",75,1486,1450,1492,16095546,4679764,73681,839
"C1210",5,"1022",43,0,2001,4,"","Atlantic City, NJ MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",74,1503,1489,1526,15324301,2261127,38907,783
"C1210",5,1023,43,0,2001,1,"","Atlantic City, NJ MSA","Private","Financial Activities","MSA, by Supersector -- by ownership sector","All establishment sizes",506,3597,3573,3638,36987593,26202407,468005,790
"C1210",5,"1023",43,0,2001,2,"","Atlantic City, NJ MSA","Private","Financial Activities","MSA, by Supersector -- by ownership sector","All establishment sizes",500,3658,3658,3707,33363373,19252747,361695,698
"C1210",5,"1023",43,0,2001,3,"","Atlantic City, NJ MSA","Private","Financial Activities","MSA, by Supersector -- by ownership sector","All establishment sizes",495,3835,3818,3727,33840294,13129509,264798,686
"C1210",5,"1023",43,0,2001,4,"","Atlantic City, NJ MSA","Private","Financial Activities","MSA, by Supersector -- by ownership sector","All establishment sizes",497,3708,3694,3736,38184571,9001525,197709,791
"C1210",5,1024,43,0,2001,1,"","Atlantic City, NJ MSA","Private","Professional and Business Services","MSA, by Supersector -- by ownership sector","All establishment sizes",927,9344,9335,9583,90774477,77164601,1508953,741
"C1210",5,"1024",43,0,2001,2,"","Atlantic City, NJ MSA","Private","Professional and Business Services","MSA, by Supersector -- by ownership sector","All establishment sizes",920,9640,9838,9709,99351963,53211177,1145415,786
"C1210",5,"1024",43,0,2001,3,"","Atlantic City, NJ MSA","Private","Professional and Business Services","MSA, by Supersector -- by ownership sector","All establishment sizes",900,9481,9445,9641,94219699,32162796,741539,761
"C1210",5,"1024",43,0,2001,4,"","Atlantic City, NJ MSA","Private","Professional and Business Services","MSA, by Supersector -- by ownership sector","All establishment sizes",920,9543,9381,9289,111164656,22163046,533940,909
"C1210",5,1025,43,0,2001,1,"","Atlantic City, NJ MSA","Private","Education and Health Services","MSA, by Supersector -- by ownership sector","All establishment sizes",665,13297,13310,13416,116785745,46513661,837638,673
"C1210",5,"1025",43,0,2001,2,"","Atlantic City, NJ MSA","Private","Education and Health Services","MSA, by Supersector -- by ownership sector","All establishment sizes",667,13614,13653,13748,117410452,35770849,686401,661
"C1210",5,"1025",43,0,2001,3,"","Atlantic City, NJ MSA","Private","Education and Health Services","MSA, by Supersector -- by ownership sector","All establishment sizes",655,13540,13669,13749,123702748,27282370,515506,697
"C1210",5,"1025",43,0,2001,4,"","Atlantic City, NJ MSA","Private","Education and Health Services","MSA, by Supersector -- by ownership sector","All establishment sizes",669,13916,14030,14018,132151539,20846020,402087,727
"C1210",5,1026,43,0,2001,1,"","Atlantic City, NJ MSA","Private","Leisure and Hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",858,54996,55150,55337,387060238,362951910,7439231,540
"C1210",5,"1026",43,0,2001,2,"","Atlantic City, NJ MSA","Private","Leisure and Hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",858,56860,58336,59318,384095461,331411687,6900828,508
